id,identifier,NAZWA,ULICA,KOD pocztowy,MIASTO,WOJEWÓDZTWO,name,,health_fund
197,969,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Starowiejska 15,08-110,Siedlce,mazowieckie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Starowiejska 15, 08-110 Siedlce",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
198,975,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Słowackiego 32,09-200,Sierpc,mazowieckie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Słowackiego 32, 09-200 Sierpc",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
199,982,Zespół Opieki Zdrowotnej Szpitala Powiatowego w Sochaczewie,Batalionów Chłopskich 3/7,96-500,Sochaczew,mazowieckie,"Zespół Opieki Zdrowotnej Szpitala Powiatowego w Sochaczewie, ul. Batalionów Chłopskich 3/7, 96-500 Sochaczew",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
200,984,"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Sokołowie Podlaskim, Szpital Powiatowy im Zbigniewa Koprowskiego",Ks. J. Bosko 5,08-300,Sokołów Podlaski,mazowieckie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Sokołowie Podlaskim, Szpital Powiatowy im Zbigniewa Koprowskiego, ul. Ks. J. Bosko 5, 08-300 Sokołów Podlaski",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
201,1048,Centralny Szpital Kliniczny MSW,Wołoska 137,02-507,Warszawa,mazowieckie,"Centralny Szpital Kliniczny MSW, ul. Wołoska 137, 02-507 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
202,1049,I Katedra i Klinika Położnictwa i Ginekologii Warszawskiego Uniewersytetu Medycznego. Uniwersyteckie Centrum Zdrowia Kobiety i Noworodka,Pl. Starynkiewicza 1/ 3,02-015,Warszawa,mazowieckie,"I Katedra i Klinika Położnictwa i Ginekologii Warszawskiego Uniewersytetu Medycznego. Uniwersyteckie Centrum Zdrowia Kobiety i Noworodka, ul. Pl. Starynkiewicza 1/ 3, 02-015 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
203,1051,Klinika Położnictwa i Ginekologii Instytut Matki i Dziecka,Kasprzaka 17A,01-211,Warszawa,mazowieckie,"Klinika Położnictwa i Ginekologii Instytut Matki i Dziecka, ul. Kasprzaka 17A, 01-211 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
204,1052,Międzyleski Szpital Specjalistyczny,Bursztynowa 2,04-749,Warszawa,mazowieckie,"Międzyleski Szpital Specjalistyczny, ul. Bursztynowa 2, 04-749 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
205,1055,Centrum Medyczne Damiana Holding Sp z o.o.,al. Rzeczpospolitej 5,02-972,Warszawa,mazowieckie,"Centrum Medyczne Damiana Holding Sp z o.o., ul. al. Rzeczpospolitej 5, 02-972 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
206,1056,Samodzielny Szpital Kliniczny im. Prof. W. Orłowskiego CMKP,Czerniakowska 231,00-416,Warszawa,mazowieckie,"Samodzielny Szpital Kliniczny im. Prof. W. Orłowskiego CMKP, ul. Czerniakowska 231, 00-416 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
207,1057,Szpital Specjalistyczny im. Świętej Rodziny SPZOZ,Madalińskiego 25,02-544,Warszawa,mazowieckie,"Szpital Specjalistyczny im. Świętej Rodziny SPZOZ, ul. Madalińskiego 25, 02-544 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
208,1058,Centrum Medyczne ŻELAZNA Sp.z o.o. Szpital Specjalistyczny św. Zofii,Żelazna 90,01-004,Warszawa,mazowieckie,"Centrum Medyczne ŻELAZNA Sp.z o.o. Szpital Specjalistyczny św. Zofii, ul. Żelazna 90, 01-004 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
209,1063,Szpital SOLEC Sp. z o.o.,Solec 93,00-382,Warszawa,mazowieckie,"Szpital SOLEC Sp. z o.o., ul. Solec 93, 00-382 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
210,1059,Szpital Bielański im. ks. Jerzego Popiełuszki SPZOZ,Cegłowska 80,01-809,Warszawa,mazowieckie,"Szpital Bielański im. ks. Jerzego Popiełuszki SPZOZ, ul. Cegłowska 80, 01-809 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
211,1060,"Szpital Specjalistyczny Inflancka Imienia Krysi Niżyńskiej - ""Zakurzonej"" SPZOZ",Inflancka 6,00-189,Warszawa,mazowieckie,"Szpital Specjalistyczny Inflancka Imienia Krysi Niżyńskiej - ""Zakurzonej"" SPZOZ, ul. Inflancka 6, 00-189 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
212,1061,Szpital Kliniczny im. Ks. Anny Mazowieckiej,Karowa 2,00-315,Warszawa,mazowieckie,"Szpital Kliniczny im. Ks. Anny Mazowieckiej, ul. Karowa 2, 00-315 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
213,1136,Szpital Medicover,Al. Rzeczypospolitej 5,02-972,Warszawa,mazowieckie,"Szpital Medicover, ul. Al. Rzeczypospolitej 5, 02-972 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
214,1062,Szpital Praski p.w. Przemienienia Pańskiego Sp. z o.o.,Al. Solidarności 67,03-401,Warszawa,mazowieckie,"Szpital Praski p.w. Przemienienia Pańskiego Sp. z o.o., ul. Al. Solidarności 67, 03-401 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
215,1050,"Mazowiecki Szpital Bródnowski Sp. z o.o. Bródnowskie Centrum Kliniczne Zespół Oddziałow Ginekologii Onkologicznej i Położnictwa Katedra i Klinika Położnictwa, Chorób Kobiecych i Ginekologii Onkologicznej",Kondratowicza 8,03-242,Warszawa,mazowieckie,"Mazowiecki Szpital Bródnowski Sp. z o.o. Bródnowskie Centrum Kliniczne Zespół Oddziałow Ginekologii Onkologicznej i Położnictwa Katedra i Klinika Położnictwa, Chorób Kobiecych i Ginekologii Onkologicznej, ul. Kondratowicza 8, 03-242 Warszawa",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
216,1064,Samodzielny Publiczny Zakład Opieki Zdrowotnej w Węgrowie,Kościuszki 15,07-100,Węgrów,mazowieckie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Węgrowie, ul. Kościuszki 15, 07-100 Węgrów",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
217,1073,Szpital Powiatowy,Gdyńska 1/3,05-200,Wołomin,mazowieckie,"Szpital Powiatowy, ul. Gdyńska 1/3, 05-200 Wołomin",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
218,1084,Niepubliczny Zakład Opieki Zdrowotnej GIN-MEDICUS Sp. z o.o.,Sowińskiego 57,07-200,Wyszków,mazowieckie,"Niepubliczny Zakład Opieki Zdrowotnej GIN-MEDICUS Sp. z o.o., ul. Sowińskiego 57, 07-200 Wyszków",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
219,1085,Szpital Powiatowy Samodzielnego Publicznego Zespołu Zakładów Opieki Zdrowotnej,Komisji Edukacji Narodowej 1,07-200,Wyszków,mazowieckie,"Szpital Powiatowy Samodzielnego Publicznego Zespołu Zakładów Opieki Zdrowotnej, ul. Komisji Edukacji Narodowej 1, 07-200 Wyszków",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
220,1104,Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Żurominie,Szpitalna 56,09-300,Żuromin,mazowieckie,"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Żurominie, ul. Szpitalna 56, 09-300 Żuromin",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
221,1105,Centrum Zdrowia Mazowsza Zachodniego Sp. z o.o.,Limanowskiego 30,96-300,Żyrardów,mazowieckie,"Centrum Zdrowia Mazowsza Zachodniego Sp. z o.o., ul. Limanowskiego 30, 96-300 Żyrardów",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
222,1146,Dom Narodzin Świetej Rodziny,Polna 28a,05-092,Łomianki,mazowieckie,"Dom Narodzin Świetej Rodziny, ul. Polna 28a, 05-092 Łomianki",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
223,691,SP ZOZ Brzeskie Centrum Medyczne,Mossora 1,49-301,Brzeg,opolskie,"SP ZOZ Brzeskie Centrum Medyczne, ul. Mossora 1, 49-301 Brzeg",Opolski Oddział Narodowego Funduszu Zdrowia w Opolu,8
224,746,Samodzielny Publiczny Zespół Opieki Zdrowotnej w Głubczycach,Marii Skłodowskiej – Curie 26,48-100,Głubczyce,opolskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Głubczycach, ul. Marii Skłodowskiej – Curie 26, 48-100 Głubczyce",Opolski Oddział Narodowego Funduszu Zdrowia w Opolu,8
225,787,Samodzielny Publiczny Zespół Opieki Zdrowotnej w Kędzierzynie-Koźlu,Roosevelta 4,47-200,Kędzierzyn-Koźle,opolskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Kędzierzynie-Koźlu, ul. Roosevelta 4, 47-200 Kędzierzyn-Koźle",Opolski Oddział Narodowego Funduszu Zdrowia w Opolu,8
226,794,Powiatowe Centrum Zdrowia S.A.,Marii Skłodowskiej-Curie 23,46-200,Kluczbork,opolskie,"Powiatowe Centrum Zdrowia S.A., ul. Marii Skłodowskiej-Curie 23, 46-200 Kluczbork",Opolski Oddział Narodowego Funduszu Zdrowia w Opolu,8
227,815,Krapkowickie Centrum Zdrowia Sp z o.o.,os. XXX-lecia 21,47-303,Krapkowice,opolskie,"Krapkowickie Centrum Zdrowia Sp z o.o., ul. os. XXX-lecia 21, 47-303 Krapkowice",Opolski Oddział Narodowego Funduszu Zdrowia w Opolu,8
228,875,Namysłowskie Centrum Zdrowia S.A.,Oleśnicka 4,46-100,Namysłów,opolskie,"Namysłowskie Centrum Zdrowia S.A., ul. Oleśnicka 4, 46-100 Namysłów",Opolski Oddział Narodowego Funduszu Zdrowia w Opolu,8
229,891,Szpital Powiatowy im. Błogosławionej Siostry Elżbietanki Marii Merkert. ZOZ w Nysie,Bohaterów Warszawy 23,48-300,Nysa,opolskie,"Szpital Powiatowy im. Błogosławionej Siostry Elżbietanki Marii Merkert. ZOZ w Nysie, ul. Bohaterów Warszawy 23, 48-300 Nysa",Opolski Oddział Narodowego Funduszu Zdrowia w Opolu,8
230,896,Zespół Opieki Zdrowotnej Szpital Powiatowy,Klonowa 1,46-300,Olesno,opolskie,"Zespół Opieki Zdrowotnej Szpital Powiatowy, ul. Klonowa 1, 46-300 Olesno",Opolski Oddział Narodowego Funduszu Zdrowia w Opolu,8
231,903,Samodzielny Specjalistyczny Zespół Opieki Zdrowotnej nad Matką i Dzieckiem,Reymonta 8,45-066,Opole,opolskie,"Samodzielny Specjalistyczny Zespół Opieki Zdrowotnej nad Matką i Dzieckiem, ul. Reymonta 8, 45-066 Opole",Opolski Oddział Narodowego Funduszu Zdrowia w Opolu,8
232,937,Prudnickie Centrum Medyczne S.A.,Szpitalna 14,48-200,Prudnik,opolskie,"Prudnickie Centrum Medyczne S.A., ul. Szpitalna 14, 48-200 Prudnik",Opolski Oddział Narodowego Funduszu Zdrowia w Opolu,8
233,996,Szpital Powiatowy im. Prałata J. Glowatzkiego,Opolska 36A,47-100,Strzelce Opolskie,opolskie,"Szpital Powiatowy im. Prałata J. Glowatzkiego, ul. Opolska 36A, 47-100 Strzelce Opolskie",Opolski Oddział Narodowego Funduszu Zdrowia w Opolu,8
234,694,Szpital Specjalistyczny w Brzozowie. Podkarpacki Ośrodek Onkologiczny im Ks. B. Markowicza,Bielawskiego 18,36-200,Brzozów,podkarpackie,"Szpital Specjalistyczny w Brzozowie. Podkarpacki Ośrodek Onkologiczny im Ks. B. Markowicza, ul. Bielawskiego 18, 36-200 Brzozów",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
235,724,Zespół Opieki Zdrowotnej w Dębicy,Krakowska 91,39-200,Dębica,podkarpackie,"Zespół Opieki Zdrowotnej w Dębicy, ul. Krakowska 91, 39-200 Dębica",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
236,771,Centrum Opieki Medycznej,3 maja 70,37-500,Jarosław,podkarpackie,"Centrum Opieki Medycznej, ul. 3 maja 70, 37-500 Jarosław",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
237,772,Szpital Specjalistyczny,Lwowska 22,38-200,Jasło,podkarpackie,"Szpital Specjalistyczny, ul. Lwowska 22, 38-200 Jasło",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
238,796,Samodzielny Publiczny Zespół Opieki Zdrowotnej w Kolbuszowej,Grunwaldzka 4,36-100,Kolbuszowa,podkarpackie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Kolbuszowej, ul. Grunwaldzka 4, 36-100 Kolbuszowa",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
239,819,Wojewódzki Szpital Podkarpacki im. Jana Pawła II,Korczyńska 57,38-400,Krosno,podkarpackie,"Wojewódzki Szpital Podkarpacki im. Jana Pawła II, ul. Korczyńska 57, 38-400 Krosno",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
240,831,Samodzielny Publiczny Zespół Opieki Zdrowotnej w Lesku,Jana Kochanowskiego 2,38-600,Lesko,podkarpackie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Lesku, ul. Jana Kochanowskiego 2, 38-600 Lesko",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
241,833,Samodzielny Publiczny Zespół Opieki Zdrowotnej w Leżajsku,Leśna 22,37-300,Leżajsk,podkarpackie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Leżajsku, ul. Leśna 22, 37-300 Leżajsk",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
242,846,Samodzielny Publiczny Zespół Opieki Zdrowotnej w Lubaczowie,Mickiewicza 168,37-600,Lubaczów,podkarpackie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Lubaczowie, ul. Mickiewicza 168, 37-600 Lubaczów",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
243,824,Centrum Medyczne w Łańcucie Sp. z o.o. Szpital Św. Michała Archanioła,Paderewskiego 5,37-100,Łańcut,podkarpackie,"Centrum Medyczne w Łańcucie Sp. z o.o. Szpital Św. Michała Archanioła, ul. Paderewskiego 5, 37-100 Łańcut",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
244,863,Szpital Powiatowy im. Edmunda Biernackiego,Żeromskiego 22,39-300,Mielec,podkarpackie,"Szpital Powiatowy im. Edmunda Biernackiego, ul. Żeromskiego 22, 39-300 Mielec",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
245,878,"SP ZZOZ, Szpital Powiatowy im. PCK",Kościuszki 1,37-400,Nisko,podkarpackie,"SP ZZOZ, Szpital Powiatowy im. PCK, ul. Kościuszki 1, 37-400 Nisko",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
246,879,Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Nowej Dębie,Marii Skłodowskiej-Curie 1A,39-460,Nowa Dęba,podkarpackie,"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Nowej Dębie, ul. Marii Skłodowskiej-Curie 1A, 39-460 Nowa Dęba",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
247,940,Wojwódzki Szpital im. Św. Ojca Pio,Monte Cassino 18,37-700,Przemyśl,podkarpackie,"Wojwódzki Szpital im. Św. Ojca Pio, ul. Monte Cassino 18, 37-700 Przemyśl",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
248,941,Samodzielny Publiczny Zakład Opieki Zdrowotnej w Przeworsku,Szpitalna 16,37-200,Przeworsk,podkarpackie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Przeworsku, ul. Szpitalna 16, 37-200 Przeworsk",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
249,963,Szpital Miejski im. Jana Pawła II,Rycerska 4,35-051,Rzeszów,podkarpackie,"Szpital Miejski im. Jana Pawła II, ul. Rycerska 4, 35-051 Rzeszów",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
250,1144,"Szpital Specjalistyczny Pro-Familia T.Wapiński, Z. Sobierzczański i Wspólnicy Sp.jawna",ul.Witolda 6B,35-302,Rzeszów,podkarpackie,"Szpital Specjalistyczny Pro-Familia T.Wapiński, Z. Sobierzczański i Wspólnicy Sp.jawna, ul. ul.Witolda 6B, 35-302 Rzeszów",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
251,964,Szpital Wojewódzki nr 2 im. Świetej Jadwigi Królowej,Lwowska 60,35-301,Rzeszów,podkarpackie,"Szpital Wojewódzki nr 2 im. Świetej Jadwigi Królowej, ul. Lwowska 60, 35-301 Rzeszów",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
252,965,Wojewódzki Szpital Specjalistyczny im. Fryderyka Chopina.,Chopina 2,35-055,Rzeszów,podkarpackie,"Wojewódzki Szpital Specjalistyczny im. Fryderyka Chopina., ul. Chopina 2, 35-055 Rzeszów",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
253,967,Samodzielny Publiczny Zespół Opieki Zdrowotnej,800-lecia 26,38-500,Sanok,podkarpackie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej, ul. 800-lecia 26, 38-500 Sanok",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
254,991,SPZZOZ Powiatowy Szpital Specjalistyczny w Stalowej Woli,Staszica 4,37-450,Stalowa Wola,podkarpackie,"SPZZOZ Powiatowy Szpital Specjalistyczny w Stalowej Woli, ul. Staszica 4, 37-450 Stalowa Wola",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
255,999,Zespół Opieki Zdrowotnej w Strzyżowie,Dąbrowskiego 10,38-100,Strzyżów,podkarpackie,"Zespół Opieki Zdrowotnej w Strzyżowie, ul. Dąbrowskiego 10, 38-100 Strzyżów",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
256,1025,Wojewódzki Szpital im. Zofii z Zamoyskich Tarnowskiej,Szpitalna 1,39-400,Tarnobrzeg,podkarpackie,"Wojewódzki Szpital im. Zofii z Zamoyskich Tarnowskiej, ul. Szpitalna 1, 39-400 Tarnobrzeg",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
257,1041,Samodzielny Publiczny Zespół Opieki Zdrowotnej w Ustrzykach Dolnych. Szpital Ogólny,29 listopada 57,38-700,Ustrzyki Dolne,podkarpackie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Ustrzykach Dolnych. Szpital Ogólny, ul. 29 listopada 57, 38-700 Ustrzyki Dolne",Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie,9
258,668,Samodzielny Publiczny Zakład Opieki Zdrowotnej w Augustowie. Szpital im. E. Biernackiego,Szpitalna 12,16-300,Augustów,podlaskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Augustowie. Szpital im. E. Biernackiego, ul. Szpitalna 12, 16-300 Augustów",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
259,1111,Poliklinika Ginekologiczno-Położnicza Sp.z o.o. Sp. k.,Zamenhofa 19,15-435,Białystok,podlaskie,"Poliklinika Ginekologiczno-Położnicza Sp.z o.o. Sp. k., ul. Zamenhofa 19, 15-435 Białystok",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
260,676,Prywatna Klinika Ginekologiczno - Położnicza Sp. z o.o.,Parkowa 6,15-224,Białystok,podlaskie,"Prywatna Klinika Ginekologiczno - Położnicza Sp. z o.o., ul. Parkowa 6, 15-224 Białystok",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
261,678,"SP ZOZ, Wojewódzki Szpital Zespolony im. Jędrzeja Śniadeckiego",Warszawska 15,15-062,Białystok,podlaskie,"SP ZOZ, Wojewódzki Szpital Zespolony im. Jędrzeja Śniadeckiego, ul. Warszawska 15, 15-062 Białystok",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
262,677,Uniwersytecki Szpital Kliniczny w Białymstoku,Marii Skłodowskiej-Curie 24a,15-276,Białystok,podlaskie,"Uniwersytecki Szpital Kliniczny w Białymstoku, ul. Marii Skłodowskiej-Curie 24a, 15-276 Białystok",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
263,679,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Kleszczelowska 1,17-100,Bielsk Podlaski,podlaskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Kleszczelowska 1, 17-100 Bielsk Podlaski",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
264,757,Szpital Ogólny im. dr Witolda Ginela,Konstytucji 3 Maja 34,19-200,Grajewo,podlaskie,"Szpital Ogólny im. dr Witolda Ginela, ul. Konstytucji 3 Maja 34, 19-200 Grajewo",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
265,764,Samodzielny Publiczny Zakład Opieki Zdrowotnej. Szpital im. lek.med. Włodzimierza Mantiuka,Lipowa 190,17-200,Hajnówka,podlaskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej. Szpital im. lek.med. Włodzimierza Mantiuka, ul. Lipowa 190, 17-200 Hajnówka",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
266,797,Szpital Ogólny,Wojska Polskiego 69,18-500,Kolno,podlaskie,"Szpital Ogólny, ul. Wojska Polskiego 69, 18-500 Kolno",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
267,843,Szpital Wojewódzki im. kardynała Stefana Wyszyńskiego,Piłsudskiego 11,18-400,Łomża,podlaskie,"Szpital Wojewódzki im. kardynała Stefana Wyszyńskiego, ul. Piłsudskiego 11, 18-400 Łomża",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
268,868,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Al. Niepodległości 19,19-100,Mońki,podlaskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Al. Niepodległości 19, 19-100 Mońki",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
269,968,Samodzielny Publiczny Zakład Opieki Zdrowotnej Szpital Powiatowy,Edwarda Rittlera 1,16-500,Sejny,podlaskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej Szpital Powiatowy, ul. Edwarda Rittlera 1, 16-500 Sejny",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
270,972,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Szpitalna 8,17-300,Siemiatycze,podlaskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Szpitalna 8, 17-300 Siemiatycze",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
271,983,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Sikorskiego 40,16-100,Sokółka,podlaskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Sikorskiego 40, 16-100 Sokółka",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
272,1003,Szpital Wojewódzki im. dr. Ludwika Rydygiera,Szpitalna 60,16-400,Suwałki,podlaskie,"Szpital Wojewódzki im. dr. Ludwika Rydygiera, ul. Szpitalna 60, 16-400 Suwałki",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
273,1083,Szpital Ogólny,Szpitalna 5,18-200,Wysokie Mazowieckie,podlaskie,"Szpital Ogólny, ul. Szpitalna 5, 18-200 Wysokie Mazowieckie",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
274,1091,Szpital Powiatowy w Zambrowie Sp. z o.o.,Jana Pawła II 3,18-300,Zambrów,podlaskie,"Szpital Powiatowy w Zambrowie Sp. z o.o., ul. Jana Pawła II 3, 18-300 Zambrów",Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku,10
275,703,Szpital Powiatu Bytowskiego Sp. z o o.,Lęborska 13,77-100,Bytów,pomorskie,"Szpital Powiatu Bytowskiego Sp. z o o., ul. Lęborska 13, 77-100 Bytów",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
276,708,Szpital Specjalistyczny im. J.K. Łukowicza,Leśna 10,89-600,Chojnice,pomorskie,"Szpital Specjalistyczny im. J.K. Łukowicza, ul. Leśna 10, 89-600 Chojnice",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
277,720,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Szczecińska 16,77-300,Człuchów,pomorskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Szczecińska 16, 77-300 Człuchów",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
278,738,COPERNICUS Podmiot Leczniczy Sp. z o.o.,Nowe Ogrody 1-6,80-803,Gdańsk,pomorskie,"COPERNICUS Podmiot Leczniczy Sp. z o.o., ul. Nowe Ogrody 1-6, 80-803 Gdańsk",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
279,736,Uniwersyteckie Centrum Kliniczne - Klinika Położnictwa Szpital Gdańskiego Uniwersytetu Medycznego,Kliniczna 1a,80-402,Gdańsk,pomorskie,"Uniwersyteckie Centrum Kliniczne - Klinika Położnictwa Szpital Gdańskiego Uniwersytetu Medycznego, ul. Kliniczna 1a, 80-402 Gdańsk",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
280,737,COPERNICUS Podmiot Leczniczy Sp. z o.o. Szpital św. Wojciecha,Al.Jana Pawła II 50,80-462,Gdańsk-Zaspa,pomorskie,"COPERNICUS Podmiot Leczniczy Sp. z o.o. Szpital św. Wojciecha, ul. Al.Jana Pawła II 50, 80-462 Gdańsk-Zaspa",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
281,740,Szpital Morski im. PCK Sp. z o.o.,Powstania Styczniowego 1,81-519,Gdynia,pomorskie,"Szpital Morski im. PCK Sp. z o.o., ul. Powstania Styczniowego 1, 81-519 Gdynia",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
282,781,Powiatowe Centrum Zdrowia Sp. z o.o,Floriana Ceynowy 7,83-300,Kartuzy,pomorskie,"Powiatowe Centrum Zdrowia Sp. z o.o, ul. Floriana Ceynowy 7, 83-300 Kartuzy",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
283,1113,Szpital Specjalistyczny w Kościerzynie Sp. z o.o.,Piechowskiego 36,83-400,Kościerzyna,pomorskie,"Szpital Specjalistyczny w Kościerzynie Sp. z o.o., ul. Piechowskiego 36, 83-400 Kościerzyna",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
